Customer_ID,Customer_Name,Customer_Phone,Customer_Addresss,Customer_Brithday,Customer_Occupation,Customer_Gender
11159,Brianna H,319535018,793 Bonifacio St.,1979-09-27,Labour,F
11157,Hannah L,974535017,832 Preston Ct.,1979-06-21,Labour,M
11156,Maria R,158535019,452 Mariposa Ct.,1980-02-17,Labour,M
11150,Russell S,543535019,755 Easley Drive,1945-03-25,Retiree,F
11151,Melinda G,543535011,05 Rainier Dr.,1946-02-25,Labour,F
11155,Hunter R,891535012,356 Mori Court,1980-01-26,Labour,F
11154,Megan W,918535018,898 Holiday Hills,1980-08-21,Labour,F
11152,James W,355535015,827 Seagull Court,1980-01-20,Labour,F
11153,Angela J,847535011,877 Weatherly Drive,1980-06-23,Labour,F
11250,Shannon L,543535011,185 Keywood Ct.,1959-03-22,Manager,F
11259,Victoria S,230535013,623 Barquentine Court,1969-03-27,Manager,M
11258,Xavier H,559535014,707 Virgil Street,1937-06-07,Retiree,F
11256,Katelyn H,249535011,496 Deerfield Dr.,1937-09-20,Retiree,M
11251,Xavier L,243535011,245 Dantley Way,1936-07-14,Retiree,M
11253,José H,712535013,703 Donald Dr.,1937-02-07,Retiree,M
11254,Johnathan V,494535016,430 Versailles Pl,1937-03-13,Retiree,M
11255,Colin L,599535013,083 San Jose,1937-04-14,Retiree,F
11252,Nicholas T,377535014,04 O St.,1936-06-17,Retiree,M
11217,Natalie A,300535015,592 Bent Tree Lane,1954-02-21,Researcher,F
11219,Charles C,755535011,871 Bel Air Dr.,1954-12-12,Researcher,F
11213,Stephanie M,293535015,514 Grant Street,1953-05-24,Researcher,M
11218,Olivia B,414535014,964 Stony Hill Circle,1954-09-21,Researcher,M
11215,Ana P,446535013,114 Arlington Way,1954-06-21,Researcher,M
11216,Jasmine T,939535013,328 San Francisco,1954-05-20,Researcher,F
11214,Charles M,389535011,719 Little Dr,1953-11-17,Researcher,F
11257,Jacqueline P,796535011,076 Northwood Dr,1937-01-16,Retiree,F
11210,Edward W,229535011,039 Adelaide St.,1952-06-18,Researcher,M
11355,Roberto G,543535012,545 Chickpea Ct.,1946-12-07,Manager,M
11359,Jarrod P,543535015,657 H St.,1982-09-14,Manager,M
11353,Carrie O,543535011,883 Cowell Rd.,1945-06-21,Retiree,M
11354,Deanna S,543535014,unckerstr 22525,1946-02-23,Manager,M
11357,Ramon Y,543535014,245 Vista Oak Dr.,1983-03-23,Manager,M
11356,Terrence C,543535018,613 Thornhill Place,1984-05-27,Manager,F
11358,Cynthia M,543535018,757 Pamplona Ct.,1982-11-21,Manager,F
